ticker,company,cik,announced_date,announcement_url,deal_price,acquirer,consideration_notes,price_at_announcement,spread_at_announcement_pct,outcome,outcome_date,outcome_url,days_to_resolution,verified_by_hand,notes
,TALOS ENERGY INC.,1724965,2022-12-27,https://www.sec.gov/Archives/edgar/data/1724965/000119312522312634/,,,"not a merger ï¿½ borrowing base redetermination. Talos is acquirer of EnVen, not a target.",19.77,,CLOSED,12/18/2024,https://www.sec.gov/Archives/edgar/data/1724965/000087666124001187/,722,y,Form 25-NSE
,"GRAYBUG VISION, INC.",1534133,2023-02-09,https://www.sec.gov/Archives/edgar/data/1534133/000119312523030003/,,,"reverse merger, Graybug Vision + CalciMedica. No cash consideration. Filing is a director appointment 8-K, not the announcement.",0.7,,BROKEN,2/16/2023,https://www.sec.gov/Archives/edgar/data/1534133/000119312523041092/,7,y,termination language
,Adamis Pharmaceuticals Corp,887247,2023-03-17,https://www.sec.gov/Archives/edgar/data/887247/000138713123003545/,,,"reverse merger, Adamis + DMK Pharmaceuticals. No cash consideration; DMK CEO leads combined company.",0.11,,CLOSED,3/21/2024,https://www.sec.gov/Archives/edgar/data/887247/000135445724000194/,370,y,Form 25-NSE
,"Digerati Technologies, Inc.",1014052,2023-05-05,https://www.sec.gov/Archives/edgar/data/1014052/000121390023036934/,,,"SPAC business combination with MEOA. Filing is Amendment No. 3 extending termination date, not an announcement.",0.09,,PENDING,,,,y,no terminal filing after 1185 days
GLS,"GELESIS HOLDINGS, INC.",1805087,2023-06-13,https://www.sec.gov/Archives/edgar/data/1805087/000095017023027586/,0.05664,PureTech Health,"all cash, $0.05664/share. Distressed take-under by controlling shareholder; company later bankrupt (GLSHQ).",,,BROKEN,10/16/2023,https://www.sec.gov/Archives/edgar/data/1805087/000095017023053536/,125,y,termination language
AMED,AMEDISYS INC,896262,2023-06-26,https://www.sec.gov/Archives/edgar/data/896262/000110465923074547/,101,UnitedHealth Group,all cash,91.21,10.73,CLOSED,8/14/2025,https://www.sec.gov/Archives/edgar/data/896262/000135445725000816/,780,y,Form 25-NSE
,"Desktop Metal, Inc.",1754820,2023-05-30,https://www.sec.gov/Archives/edgar/data/1754820/000110465923065705/,,,"rights plan adopted alongside Stratasys merger. Stock-for-stock combination, no cash price. Not the announcement.",1.84,,CLOSED,10/11/2023,https://www.sec.gov/Archives/edgar/data/1754820/000114331323000098/,134,y,Form 25-NSE
CPRI,Capri Holdings Ltd,1530721,2023-08-10,https://www.sec.gov/Archives/edgar/data/1530721/000119312523208278/,57,Tapestry,all cash,34.61,64.69,BROKEN,11/6/2023,https://www.sec.gov/Archives/edgar/data/1530721/000114036123051585/,88,y,termination language
,American Strategic Investment Co.,1595527,2023-05-30,https://www.sec.gov/Archives/edgar/data/1595527/000110465923066185/,,,"not a deal for this company. Item 5.02 about executive departures; the merger described is GNL/RTL, all-stock, NYC not a party.",8,,PENDING,,,,y,no terminal filing after 1160 days
,FLEX LTD.,866374,2023-10-25,https://www.sec.gov/Archives/edgar/data/866374/000086637423000063/,,,not a merger ï¿½ Q2 earnings release,23.22,,CLOSED,1/2/2024,https://www.sec.gov/Archives/edgar/data/866374/000086637424000005/,69,y,8-K Item 2.01
,Nubia Brand International Corp.,1881551,2023-10-16,https://www.sec.gov/Archives/edgar/data/1881551/000101376223003931/,,,not a merger ï¿½ SPAC working capital promissory note,,,CLOSED,2/2/2024,https://www.sec.gov/Archives/edgar/data/1881551/000135445724000046/,109,y,Form 25-NSE
GAN,GAN Ltd,1799332,2023-11-07,https://www.sec.gov/Archives/edgar/data/1799332/000149315223045096/,1.97,SEGA SAMMY Creation,"all cash, $1.97/share. Row pointed at the Dec 15 amendment; real announcement Nov 7 2023. Price at announcement needs re-pull for that date.",,,CLOSED,5/27/2025,https://www.sec.gov/Archives/edgar/data/1799332/000135445725000456/,529,y,Form 25-NSE
CNSL,"Consolidated Communications Holdings, Inc.",1304421,2023-10-16,https://www.sec.gov/Archives/edgar/data/1304421/000110465923109248/,4.7,Searchlight Capital Partners,all cash. PE buyout with BCI as co-investor; controlling-shareholder deal negotiated by a special committee.,3.53,33.14,CLOSED,12/27/2024,https://www.sec.gov/Archives/edgar/data/1304421/000135445724000967/,438,y,Form 25-NSE
SP,SP Plus Corp,1059262,2023-10-05,https://www.sec.gov/Archives/edgar/data/1059262/000119312523251150/,54,Metropolis Technologies,all cash. Ticker mis-parsed as CRLKP; correct symbol is SP. Price at announcement needs re-pull for 2023-10-05.,35.41,52.5,CLOSED,5/16/2024,https://www.sec.gov/Archives/edgar/data/1059262/000135445724000351/,224,y,Form 25-NSE
HA,HAWAIIAN HOLDINGS INC,1172222,2023-12-04,https://www.sec.gov/Archives/edgar/data/1172222/000119312523287917/,18,Alaska Air Group,all cash,4.86,270.37,CLOSED,9/18/2024,https://www.sec.gov/Archives/edgar/data/1172222/000135445724000688/,289,y,Form 25-NSE
SP,SP Plus Corp,1059262,2023-10-05,https://www.sec.gov/Archives/edgar/data/1059262/000119312523251150/,,,,22.8,,CLOSED,5/16/2024,https://www.sec.gov/Archives/edgar/data/1059262/000135445724000351/,224,,Form 25-NSE
,"SANUWAVE Health, Inc.",1417663,2023-08-23,https://www.sec.gov/Archives/edgar/data/1417663/000114036123041023/,,,SPAC business combination with SEP Acquisition Corp. No cash consideration; PIPE-financed reverse merger.,0.02,,BROKEN,9/25/2023,https://www.sec.gov/Archives/edgar/data/1417663/000114036123045100/,33,y,termination language
AXNX,"Axonics, Inc.",1603756,2024-01-08,https://www.sec.gov/Archives/edgar/data/1603756/000160375624000023/,71,Boston Scientific,all cash,57.57,23.33,CLOSED,11/15/2024,https://www.sec.gov/Archives/edgar/data/1603756/000135445724000871/,312,y,Form 25-NSE
JNPR,JUNIPER NETWORKS INC,1043604,2024-01-10,https://www.sec.gov/Archives/edgar/data/1043604/000119312524005659/,40,Hewlett Packard Enterprise,all cash,36.81,8.67,CLOSED,7/2/2025,https://www.sec.gov/Archives/edgar/data/1043604/000087666125000489/,539,y,Form 25-NSE
,COFFEE HOLDING CO INC,1007019,2024-01-04,https://www.sec.gov/Archives/edgar/data/1007019/000149315224001093/,,,"amendment extending outside date. Underlying deal is a share exchange with Delta Corp Holdings (Cayman/UK), no cash consideration.",0.89,,BROKEN,6/24/2024,https://www.sec.gov/Archives/edgar/data/1007019/000149315224024882/,172,y,termination language
X,UNITED STATES STEEL CORP,1163302,2023-12-18,https://www.sec.gov/Archives/edgar/data/1163302/000110465923126953/,55,Nippon Steel,"all cash. Foreign acquirer, CFIUS review - deal was blocked by Biden Jan 2025, later approved by Trump with a golden-share arrangement, closed June 2025.",39.33,39.84,CLOSED,6/18/2025,https://www.sec.gov/Archives/edgar/data/1163302/000087688225000016/,548,y,Form 25-NSE
HAYN,HAYNES INTERNATIONAL INC,858655,2024-02-05,https://www.sec.gov/Archives/edgar/data/858655/000110465924034520/,61,North American Stainless,"all cash. Spanish parent Acerinox - foreign acquirer, CFIUS relevant. Row pointed at a March 12 retention bonus 8-K; real announcement Feb 5 2024. Price at announcement needs re-pull for that date.",56.11,8.72,CLOSED,11/21/2024,https://www.sec.gov/Archives/edgar/data/858655/000135445724000884/,252,y,Form 25-NSE
VIA,"Via Renewables, Inc.",1606268,2023-12-29,https://www.sec.gov/Archives/edgar/data/1606268/000165495424000016/,11,Retailco LLC ,"all cash, $11.00 Class A only. Controlling-shareholder take-private: Maxwell's shares and Class B stay outstanding. Ticker was mis-parsed as VIASP; price needs re-pull for VIA on 2023-12-29.",,,CLOSED,6/13/2024,https://www.sec.gov/Archives/edgar/data/1606268/000135445724000404/,163,y,Form 25-NSE
,"Diamondback Energy, Inc.",1539838,2024-03-06,https://www.sec.gov/Archives/edgar/data/1539838/000114036124011751/,,,"not a merger filing - term loan financing. FANG is the acquirer of Endeavor Parent LLC, not a target.",181.18,,CLOSED,9/10/2024,https://www.sec.gov/Archives/edgar/data/1539838/000114036124040726/,188,y,8-K Item 2.01
CTLT,"Catalent, Inc.",1596783,2024-02-05,https://www.sec.gov/Archives/edgar/data/1596783/000119312524023426/,63.5,Novo Holdings,all cash. Novo Holdings intends to sell three fill-finish sites to Novo Nordisk post-close - that carveout drew extra antitrust scrutiny.,54.51,16.49,CLOSED,12/18/2024,https://www.sec.gov/Archives/edgar/data/1596783/000087666124001185/,317,y,Form 25-NSE
,ANSYS INC,1013462,2024-01-16,https://www.sec.gov/Archives/edgar/data/1013462/000119312524008112/,,Synopsys,"cash + stock: $197.00 cash plus 0.3450 SNPS shares per ANSS share. Total consideration floats with acquirer stock - no fixed price, no clean spread.",327.42,,CLOSED,7/17/2025,https://www.sec.gov/Archives/edgar/data/1013462/000135445725000689/,548,y,Form 25-NSE
,TE Connectivity Ltd.,1385157,2024-03-18,https://www.sec.gov/Archives/edgar/data/1385157/000110465924035560/,,,"not an acquisition - redomiciliation from Switzerland to Ireland, 1:1 share exchange into TE Connectivity plc",140,,CLOSED,9/30/2024,https://www.sec.gov/Archives/edgar/data/1385157/000087666124000890/,196,y,Form 25-NSE
,HESS CORP,4447,2023-10-23,https://www.sec.gov/Archives/edgar/data/4447/000119312523260801/,,Chevron,"all stock, 1.025 CVX shares per HES share. No fixed cash price.",161.3,,CLOSED,7/18/2025,https://www.sec.gov/Archives/edgar/data/4447/000087666125000523/,634,y,Form 25-NSE
,ChampionX Corp,1723089,2024-04-02,https://www.sec.gov/Archives/edgar/data/1723089/000119312524084162/,,SLB,"all stock, 0.735 SLB shares per CHX share. No fixed cash price.",39.08,,CLOSED,7/16/2025,https://www.sec.gov/Archives/edgar/data/1723089/000135445725000680/,470,y,Form 25-NSE
,"HomeStreet, Inc.",1518715,2024-04-30,https://www.sec.gov/Archives/edgar/data/1518715/000151871524000108/,,FirstSun Capital Bancorp,"all stock, exchange ratio 0.3867 FSUN per HMST share (reduced from 0.4345 by Amendment No. 1). Filing is the amendment, not the announcement.",12.25,,CLOSED,12/31/2024,https://www.sec.gov/Archives/edgar/data/1518715/000151871524000203/,245,y,8-K Item 2.01
,SOUTHWESTERN ENERGY CO,7332,2024-01-11,https://www.sec.gov/Archives/edgar/data/7332/000110465924003359/,,Chesapeake Energy,"all stock, 0.0867 CHK shares per SWN share. No fixed cash price.",6.72,,CLOSED,10/1/2024,https://www.sec.gov/Archives/edgar/data/7332/000087666124000892/,264,y,Form 25-NSE
,MariaDB plc,1929589,2024-01-11,https://www.sec.gov/Archives/edgar/data/1929589/000192958924000004/,,,not a merger - promissory note amendment with RP Ventures,0.18,,CLOSED,8/26/2024,https://www.sec.gov/Archives/edgar/data/1929589/000087666124000803/,228,y,Form 25-NSE
,"Eliem Therapeutics, Inc.",1768446,2024-04-11,https://www.sec.gov/Archives/edgar/data/1768446/000119312524092520/,,Eliem is the acquirer of Tenet Medicines,"reverse merger - Eliem acquiring private Tenet Medicines, consideration is 15.4% of Eliem stock. No cash, Eliem not a target.",4.58,,CLOSED,6/27/2024,https://www.sec.gov/Archives/edgar/data/1768446/000119312524170599/,77,y,8-K Item 2.01
,Equitrans Midstream Corp,1747009,2024-03-11,https://www.sec.gov/Archives/edgar/data/1747009/000110465924032682/,,"all stock, 0.3504 EQT shares per ETRN share. No fixed cash price. Ticker was mis-parsed as EQTNP. Ticker was ETRN",,,,CLOSED,7/22/2024,https://www.sec.gov/Archives/edgar/data/1747009/000087666124000595/,133,y,Form 25-NSE
,MCGRATH RENTCORP,752714,2024-01-29,https://www.sec.gov/Archives/edgar/data/752714/000119312524017316/,,WillScot Mobile Mini,"cash + stock: $123/share as 60% cash, 40% WillScot stock plus ~12.6% stake in combined company. No fixed cash price.",123.75,,BROKEN,2/22/2024,https://www.sec.gov/Archives/edgar/data/752714/000119312524041695/,24,y,termination language
,"Matterport, Inc./DE",1819394,2024-04-22,https://www.sec.gov/Archives/edgar/data/1819394/000110465924049761/,,CoStar Group,"cash + stock: $2.75 cash plus $2.75 in CSGP shares per MTTR share, $5.50 total at announcement. Stock component floats - no fixed price.",4.8,,CLOSED,2/28/2025,https://www.sec.gov/Archives/edgar/data/1819394/000135445725000149/,312,y,Form 25-NSE
HCP,"HashiCorp, Inc.",1720671,2024-04-25,https://www.sec.gov/Archives/edgar/data/1720671/000119312524114310/,35,IBM,all cash,31.41,11.43,CLOSED,2/27/2025,https://www.sec.gov/Archives/edgar/data/1720671/000135445725000140/,308,y,Form 25-NSE
PRFT,PERFICIENT INC,1085869,2024-05-06,https://www.sec.gov/Archives/edgar/data/1085869/000119312524131525/,76,EQT Asia (BPEA Private Equity Fund VIII),"all cash. PE take-private, 75% premium to unaffected price.",48.11,57.97,CLOSED,10/2/2024,https://www.sec.gov/Archives/edgar/data/1085869/000135445724000739/,149,y,Form 25-NSE
AGS,"PlayAGS, Inc.",1593548,2024-05-08,https://www.sec.gov/Archives/edgar/data/1593548/000119312524134842/,12.5,Brightstar Capital Partners,"all cash. PE take-private, 40% premium to prior close. add price at announcement was post-news; needs re-pull for 2024-05-08 (unaffected close ~$8.93 per stated 40% premium)",8.6,45.35,CLOSED,7/1/2025,https://www.sec.gov/Archives/edgar/data/1593548/000087666125000479/,418,y,Form 25-NSE
ASXC,"ASENSUS SURGICAL, INC.",876378,2024-06-07,https://www.sec.gov/Archives/edgar/data/876378/000143774924019546/,0.35,KARL STORZ Endoscopy-America,"all cash, $0.35/share. Distressed microcap; 67% premium to Apr 2 2024 unaffected close. Ticker was mis-parsed as TRXDW. Actual ticker is ASXC",0.23,52.17,CLOSED,8/22/2024,https://www.sec.gov/Archives/edgar/data/876378/000114331324000087/,76,y,Form 25-NSE
SRDX,SURMODICS INC,924717,2024-05-29,https://www.sec.gov/Archives/edgar/data/924717/000119312524148609/,43,GTCR,all cash. PE take-private financed with committed equity plus committed debt.,35.1,22.51,CLOSED,11/19/2025,https://www.sec.gov/Archives/edgar/data/924717/000135445725001154/,539,y,Form 25-NSE
,,,,,,,,,,,,,,,
PFIE,PROFIRE ENERGY INC,1289636,2024-11-07,https://www.sec.gov/Archives/edgar/data/1289636/000110465924115374/,,,"communications filing only, no price. Merger Agreement dated 2024-10-28, CECO Environmental, tender offer. Announcement not pulled.",2.51,,CLOSED,1/3/2025,https://www.sec.gov/Archives/edgar/data/1289636/000135445725000007/,57,y,Form 25-NSE
ROIC,RETAIL OPPORTUNITY INVESTMENTS CORP,1407623,2024-11-06,https://www.sec.gov/Archives/edgar/data/1407623/000119312524252545/,17.5,Blackstone Real Estate Partners X,all cash. REIT take-private with a parallel partnership merger. Real date 11/6/2024,16.59,5.49,CLOSED,2/12/2025,https://www.sec.gov/Archives/edgar/data/1407623/000135445725000100/,97,y,Form 25-NSE
ATSG,"Air Transport Services Group, Inc.",894081,2024-11-04,https://www.sec.gov/Archives/edgar/data/894081/000095010324015854/,22.5,Stonepeak,"all cash. PE infrastructure take-private, 29.3% premium to the Nov 1 close.",17.4,29.31,CLOSED,4/11/2025,https://www.sec.gov/Archives/edgar/data/894081/000135445725000328/,158,y,Form 25-NSE
DFS,Discover Financial Services,1393612,2024-12-13,https://www.sec.gov/Archives/edgar/data/1393612/000119312524278703/,,Capital One Financial,"all stock, 1.0192 COF shares per DFS share. No fixed cash price. This filing is an Item 5.02 comp adjustment, not the announcement.",175.64,,CLOSED,5/19/2025,https://www.sec.gov/Archives/edgar/data/1393612/000087666125000350/,157,y,Form 25-NSE
PSTX,"Poseida Therapeutics, Inc.",1661460,2024-11-26,https://www.sec.gov/Archives/edgar/data/1661460/000119312524266103/,,Roche Holdings,"communications filing only, no price in any document. Roche tender offer for Poseida; deal included a CVR, so excluded on that basis regardless.",2.86,,CLOSED,1/8/2025,https://www.sec.gov/Archives/edgar/data/1661460/000135445725000014/,43,y,Form 25-NSE
OMIC,"Singular Genomics Systems, Inc.",1850906,2024-12-22,https://www.sec.gov/Archives/edgar/data/1850906/000119312524284273/,20,Deerfield Private Design Fund IV,all cash. Controlling-shareholder take-private; Deerfield was already a holder and rolls its stake rather than cashing out. Special committee of independent directors negotiated. 2024-12-22,19.55,2.3,CLOSED,2/21/2025,https://www.sec.gov/Archives/edgar/data/1850906/000135445725000126/,60,y,Form 25-NSE
NARI,"Inari Medical, Inc.",1531048,2025-01-06,https://www.sec.gov/Archives/edgar/data/1531048/000119312525002549/,80,Stryker,"all cash tender offer. Majority minimum tender condition, HSR review.",49.77,60.74,CLOSED,2/19/2025,https://www.sec.gov/Archives/edgar/data/1531048/000135445725000118/,43,y,Form 25-NSE
CCRN,CROSS COUNTRY HEALTHCARE INC,1141103,2024-12-03,https://www.sec.gov/Archives/edgar/data/1141103/000095010324017244/,18.61,Aya Healthcare,"all cash, $18.61. THIS IS THE AYA DEAL, WHICH TERMINATED. Outcome shows CLOSED because detection saw the later Knox Lane closing. CCRN had two deals; the Knox Lane deal at $13.25 is missing from this dataset entirely (dedupe keeps one row per ticker).",11.52,61.55,BROKEN,7/21/2026,https://www.sec.gov/Archives/edgar/data/1141103/000135445726000712/,594,y,Form 25-NSE
BERY,"BERRY GLOBAL GROUP, INC.",1378992,2024-11-19,https://www.sec.gov/Archives/edgar/data/1378992/000110465924120311/,,Amcor plc,"all stock, 7.25 AMCR shares per BERY share. Implied $73.59 at announcement but floats with Amcor. No fixed cash price.",67.05,,CLOSED,4/30/2025,https://www.sec.gov/Archives/edgar/data/1378992/000087666125000291/,162,y,Form 25-NSE
EMKR,EMCORE CORP,808326,2024-11-08,https://www.sec.gov/Archives/edgar/data/808326/000110465924115591/,3.1,Velocity One Holdings,"all cash $3.10. Board chose this over an unsolicited $3.80 proposal from Mobix Labs, citing financing certainty and likelihood of closing.",2.37,30.8,CLOSED,2/28/2025,https://www.sec.gov/Archives/edgar/data/808326/000135445725000150/,112,y,Form 25-NSE
STAF,"Staffing 360 Solutions, Inc.",1499717,2025-01-13,https://www.sec.gov/Archives/edgar/data/1499717/000149315225001935/,,Atlantic International Corp,"all stock, exchange ratio into Atlantic common. Filing is First Amendment, not the announcement. Complex preferred conversions and lockup schedule.",,,CLOSED,7/10/2025,https://www.sec.gov/Archives/edgar/data/1499717/000135445725000638/,178,y,Form 25-NSE
CHRS,"Coherus BioSciences, Inc.",1512762,2024-12-03,https://www.sec.gov/Archives/edgar/data/1512762/000110465924124881/,,"not applicable - Intas is buying an asset, not the company","not a merger - asset purchase agreement, Coherus divesting UDENYCA franchise to Intas for $483.4M. Company remains public.",1.37,,CLOSED,4/14/2025,https://www.sec.gov/Archives/edgar/data/1512762/000155837025004746/,132,y,8-K Item 2.01
MRNS,"MARINUS PHARMACEUTICALS, INC.",1267813,2024-12-29,https://www.sec.gov/Archives/edgar/data/1267813/000110465925000105/,0.55,Immedica Pharma AB,"all cash $0.55 tender offer. Swedish acquirer. Section 251(h) short-form merger follows the tender, no shareholder vote needed.",0.37,48.65,CLOSED,2/11/2025,https://www.sec.gov/Archives/edgar/data/1267813/000135445725000089/,40,y,Form 25-NSE
IPG,"INTERPUBLIC GROUP OF COMPANIES, INC.",51644,2024-12-09,https://www.sec.gov/Archives/edgar/data/51644/000119312524273521/,,Omnicom Group,"all stock, 0.344 OMC shares per IPG share. No fixed cash price.",29.26,,CLOSED,11/28/2025,https://www.sec.gov/Archives/edgar/data/51644/000087666125000918/,354,y,Form 25-NSE
RVNC,"Revance Therapeutics, Inc.",1479290,2025-01-21,https://www.sec.gov/Archives/edgar/data/1479290/000114036125001461/,3.65,Crown Laboratories,"all cash $3.65, REPRICED UPWARD. Original merger agreement 2024-08-11, A&R agreement 2024-12-07 at $3.10, Second Amendment 2025-01-17 raised to $3.65 (+17%). Tender extended twice. Row date is the amendment, not the original announcement.",3.68,-0.82,CLOSED,2/6/2025,https://www.sec.gov/Archives/edgar/data/1479290/000135445725000073/,16,y,Form 25-NSE
SDIG,"Stronghold Digital Mining, Inc.",1856028,2024-10-31,https://www.sec.gov/Archives/edgar/data/1856028/000114036124044717/,,,not a merger - hosting agreement for third-party mining equipment,5.12,,CLOSED,3/14/2025,https://www.sec.gov/Archives/edgar/data/1856028/000135445725000201/,134,y,Form 25-NSE
AZPN,"Aspen Technology, Inc.",1897982,2025-01-27,https://www.sec.gov/Archives/edgar/data/1897982/000095010325000885/,265,Emerson Electric,all cash $265.00 tender offer. Controlling-shareholder squeeze-out - Emerson already owned ~57% from its 2022 majority investment. Special committee of three independent directors negotiated.,255.16,3.86,CLOSED,3/12/2025,https://www.sec.gov/Archives/edgar/data/1897982/000135445725000196/,44,y,Form 25-NSE
WMPN,William Penn Bancorporation,1828376,2024-12-11,https://www.sec.gov/Archives/edgar/data/1828376/000155837024016135/,,Mid Penn Bancorp,all stock combination per investor presentation. Merger Agreement dated 2024-10-31. No fixed cash price.,13,,CLOSED,4/30/2025,https://www.sec.gov/Archives/edgar/data/1828376/000135445725000364/,140,y,Form 25-NSE
UNIT,Uniti Group Inc.,1620280,2024-06-18,https://www.sec.gov/Archives/edgar/data/1620280/000095010324008500/,,,"not a merger announcement - Amendment No. 9 to credit agreement, satisfying a closing condition. Merger Agreement with Windstream dated 2024-05-03.",2.67,,BROKEN,1/10/2025,https://www.sec.gov/Archives/edgar/data/1620280/000095010325000347/,206,y,termination language
NURO,"NeuroMetrix, Inc.",1289850,2025-01-23,https://www.sec.gov/Archives/edgar/data/1289850/000149315225003380/,,,"not a merger - asset purchase, NeuroMetrix selling DPNCheck Japan rights to Fukuda Denshi. Company remains public.",4,,CLOSED,5/1/2025,https://www.sec.gov/Archives/edgar/data/1289850/000135445725000373/,98,y,Form 25-NSE
ITCI,"Intra-Cellular Therapies, Inc.",1567514,2025-01-13,https://www.sec.gov/Archives/edgar/data/1567514/000119312525004990/,132,Johnson & Johnson,all cash. $14.6B equity value,94.87,39.14,CLOSED,4/2/2025,https://www.sec.gov/Archives/edgar/data/1567514/000135445725000272/,79,y,Form 25-NSE
EBTC,ENTERPRISE BANCORP INC /MA/,1018399,2024-12-12,https://www.sec.gov/Archives/edgar/data/1018399/000101839924000086/,,Independent Bank Corp,"Item 5.02 employment agreement amendment, not the announcement. Merger Agreement dated 2024-12-08 with Independent Bank Corp. Bank merger - consideration structure not confirmed.",43.24,,CLOSED,7/1/2025,https://www.sec.gov/Archives/edgar/data/1018399/000135445725000601/,201,y,Form 25-NSE
PWOD,PENNS WOODS BANCORP INC,716605,2024-12-20,https://www.sec.gov/Archives/edgar/data/716605/000110465924130506/,,Northwest Bancshares,"all stock, 2.385 NWBI shares per PWOD share. Tax-free reorganization under 368(a). No fixed cash price.",30.18,,CLOSED,7/28/2025,https://www.sec.gov/Archives/edgar/data/716605/000135445725000741/,220,y,Form 25-NSE
PDCO,"PATTERSON COMPANIES, INC.",891024,2024-12-11,https://www.sec.gov/Archives/edgar/data/891024/000119312525009624/,31.35,Patient Square Capital,"all cash $31.35. PE take-private. 49% premium to the 30-day VWAP ending 2024-12-04, the last day before Patterson announced a strategic review. Row previously pointed at the Jan 2025 go-shop expiration.",23.11,35.66,CLOSED,4/17/2025,https://www.sec.gov/Archives/edgar/data/891024/000135445725000337/,86,y,Form 25-NSE
VOXX,VOXX International Corp,807707,2024-12-17,https://www.sec.gov/Archives/edgar/data/807707/000095017024137633/,7.5,Gentex Corporation,all cash $7.50. Dual-class target - Class A and Class B both receive the same price. (12/17),8,-6.25,CLOSED,4/1/2025,https://www.sec.gov/Archives/edgar/data/807707/000135445725000266/,104,y,Form 25-NSE
IVAC,INTEVAC INC,1001902,2025-02-13,https://www.sec.gov/Archives/edgar/data/1001902/000114036125004163/,4,Seagate Technology Holdings,"all cash $4.00 tender offer, plus a one-time special dividend of $0.052 at closing (effective total $4.052). Regular $0.05 quarterly dividend also paid March 13. Irish acquirer.",3.38,18.34,CLOSED,3/31/2025,https://www.sec.gov/Archives/edgar/data/1001902/000135445725000257/,46,y,Form 25-NSE
LGTY,"LOGILITY SUPPLY CHAIN SOLUTIONS, INC",713425,2025-01-24,https://www.sec.gov/Archives/edgar/data/713425/000114036125002221/,14.3,Aptean,all cash $14.30. (2025-01-24),11.26,27.0,CLOSED,4/4/2025,https://www.sec.gov/Archives/edgar/data/713425/000135445725000287/,66,y,Form 25-NSE
